,category,term,tf_idf
571,Канцтовары,10цв,0.0004082771138156663
572,Продукты,10ш,0.00017590261368866553
573,Для ремонта,10шт,0.0002040340160768683
574,Дом,10шт,5.0879423030556045e-05
575,Здоровье,10шт,0.0002448045902831091
576,Зоотовары,10шт,0.0003887536338544157
577,Канцтовары,10шт,0.0001294194576966055
578,Красота,10шт,3.34853369433256e-05
579,Продукты,10шт,0.00039031466791686554
580,Товары для взрослых,10шт,0.00012228597263603486
581,Автотовары,11,0.0005289080110581078
582,Бытовая техника,11,0.0001762291884539199
583,Для ремонта,11,5.915600295300451e-05
584,Дом,11,2.9503152042145857e-05
585,Здоровье,11,7.097669959229153e-05
586,Игрушки,11,5.476228475735617e-05
587,Книги,11,6.197981924193407e-05
588,Мебель,11,0.00010758738593394647
589,Продукты,11,9.69983454937756e-05
590,Сад и дача,11,6.952612597035937e-05
591,Товары для взрослых,11,0.00021272774503373898
592,Электроника,11,0.0005532389807364083
593,Автотовары,110,0.000482889201333868
594,Детям,110,0.0003110404950587663
595,Для ремонта,110,0.00010201700803843414
596,Женщинам,110,4.494706452942678e-05
597,Игрушки,110,0.0004721992837085757
598,Красота,110,6.69706738866512e-05
599,Сад и дача,110,0.00023980144018973461
600,Ювелирные изделия,110,6.266759065218098e-05
601,Автотовары,11000,0.00016926238048164914
602,Автотовары,110001,0.0003385247609632983
603,Автотовары,1100gph,0.0003385247609632983
604,Игрушки,11015,9.93092095679102e-05
605,Детям,11022,0.0001894589684282876
606,Игрушки,11022,7.669945712768627e-05
607,Для ремонта,110317,0.00032183112449507643
608,Автотовары,1105х325х6мм,0.00016926238048164914
609,Автотовары,11065,0.00016926238048164914
610,Автотовары,110cc,0.0003385247609632983
611,Продукты,110гр,0.00017590261368866553
612,Канцтовары,110л,0.0004082771138156663
613,Автотовары,110пр,0.00016926238048164914
614,Автотовары,110ссatv,0.0003385247609632983
615,Дом,110х140,0.00037189612882172253
616,Красота,110х140,8.15854847910717e-05
617,Игрушки,110х150,9.93092095679102e-05
618,Зоотовары,111,0.0001669917499097213
619,Канцтовары,111,0.00022237200973629242
620,Книги,111,0.00024487437909012183
621,Красота,111,5.753541086719865e-05
622,Электроника,1115g4,0.0001584121149759833
623,Автотовары,11181,0.0003385247609632983
624,Красота,112,0.00010563555871494477
625,Автотовары,113,0.00026145274444470756
626,Красота,113,8.15854847910717e-05
627,Здоровье,1130,0.0001930701019546847
